02,79501539351,1711230744079,1711231875079
01,79794413530,1711230763079,1711234219079
01,79372779198,1711230766079,1711233479079
01,79628509461,1711230769079,1711233092079
01,79501539351,1711230771079,1711231792079
01,79481985824,1711230782079,1711233912079
01,79345662844,1711230793079,1711232992079
02,79172406531,1711230802079,1711233009079
02,79268489450,1711230817079,1711232407079
01,79213430653,1711230817079,1711231393079
01,79186270977,1711230843079,1711232489079
01,79372779198,1711230849079,1711232666079
02,79481985824,1711230857079,1711232905079
02,79573534878,1711230879079,1711232454079
01,79114819185,1711230883079,1711233431079
01,79842785814,1711230886079,1711230983079
01,79366464833,1711230891079,1711233336079
02,79213430653,1711230893079,1711234056079
02,79628509461,1711230894079,1711233167079
02,79556669109,1711230895078,1711233545078
02,79842785814,1711230900079,1711231365079
01,79172406531,1711230906079,1711232395079
01,79556669109,1711230917078,1711231019078
02,79794413530,1711230921079,1711231860079
02,79464398688,1711230935079,1711232912079
02,79234790496,1711230940079,1711230982079
01,79234790496,1711230940079,1711231072079
02,79186270977,1711230943079,1711231771079
02,79501539351,1711230966079,1711231541079
02,79172406531,1711230978079,1711233585079
02,79366464833,1711230981079,1711231745079
01,79213430653,1711230989079,1711231419079
01,79234790496,1711231017079,1711231464079
01,79784611858,1711231024078,1711233759078
01,79172406531,1711231028079,1711231385079
01,79213430653,1711231034079,1711231212079
01,79544967932,1711231034079,1711232126079
01,79842785814,1711231038079,1711233417079
01,79345662844,1711231039079,1711233283079
02,79372779198,1711231042079,1711233882079
02,79186270977,1711231048079,1711231801079
01,79345662844,1711231093079,1711232588079
01,79784611858,1711231095078,1711231512078
01,79628509461,1711231096079,1711232301079
02,79114819185,1711231103079,1711234036079
02,79501539351,1711231113079,1711232259079
01,79172406531,1711231119079,1711234334079
01,79234790496,1711231136079,1711234330079
02,79628509461,1711231140079,1711233879079
02,79234790496,1711231144079,1711233048079
01,79784611858,1711231146078,1711232516078
02,79432514476,1711231154079,1711232995079
01,79366464833,1711231160079,1711232172079
01,79628509461,1711231165079,1711233437079
01,79268489450,1711231166079,1711231613079
02,79481985824,1711231168079,1711232531079
02,79345662844,1711231174079,1711233027079
01,79573534878,1711231185079,1711233750079
02,79114819185,1711231189079,1711232577079
01,79481985824,1711231201079,1711233219079
01,79784611858,1711231202078,1711232771078
01,79481985824,1711231207079,1711233444079
02,79186270977,1711231214079,1711232523079
02,79544967932,1711231220079,1711234217079
01,79464398688,1711231223079,1711231425079
02,79556669109,1711231224078,1711234008078
01,79114819185,1711231228079,1711232593079
02,79544967932,1711231229079,1711231495079
01,79784611858,1711231238078,1711232459078
02,79234790496,1711231245079,1711232890079
01,79366464833,1711231254079,1711232567079
01,79432514476,1711231275079,1711234078079
01,79172406531,1711231280079,1711234224079
02,79573534878,1711231296079,1711231524079
01,79345662844,1711231306079,1711232554079
01,79366464833,1711231310079,1711233621079
01,79432514476,1711231311079,1711232089079
